Opportunity ID,Account Name,Segment,Tier,Region,Company Size,Current Tech Stack,Lead Source,Assigned Rep,Close Date,Sales Cycle (days),Deal Size (EUR ACV),Outcome,Competitor Faced,Competitor Quoted Price (EUR),Decision Driver,Product Feedback,Demo Quality (1-5),Response Time (hrs),Notes
OPP-1001,Nordkredit,Bank/Lender,Tier 1,Nordics,"EUR 1372M annual origination",Estemate,Outbound,Anna Kowalski,2026-09-08,65,56924,Won,Estemate,57313,"Explainability / audit trail","Standout: comparable-level audit trail",3,8,"See sales-call-analysis/call-01-nordkredit.md"
OPP-1002,Meridian Savings,Bank/Lender,Tier 1,DACH,"EUR 1470M annual origination",Bricklane Data,Outbound,Marcus Webb,2026-08-20,93,61496,Won,Bricklane Data,66316,"Explainability / audit trail","Standout: audit trail vs. confidence-score-only comparison",3,8,"See sales-call-analysis/call-02-meridian-savings.md"
OPP-1003,Court Street Lending,Bank/Lender,Tier 2,Nordics,"EUR 4476M annual origination",In-house build,Inbound,Anna Kowalski,2026-09-15,204,154764,Lost,ValuAI,143632,"Price","Missing: named reference customer at our scale",4,2,"See sales-call-analysis/call-03-court-street-lending.md"
OPP-1004,Riverton Brokers,Brokerage,Tier 3,DACH,"74 agents",PropIQ,Inbound,Marcus Webb,2026-09-05,39,17539,Won,PropIQ,15709,"Existing relationship / referral","Standout: desktop/tablet prep workflow",3,21,"See sales-call-analysis/call-04-riverton-brokers.md"
OPP-1005,Baltic Home Finance,Bank/Lender,Tier 1,Nordics,"EUR 1630M annual origination",Estemate,Outbound,Anna Kowalski,2026-08-25,95,49193,Lost,Estemate,52309,"Data coverage gap","Missing: data coverage in smaller regional market",3,27,"See sales-call-analysis/call-05-baltic-home-finance.md"
OPP-1006,Alpine Credit Union,Bank/Lender,Tier 1,DACH,"EUR 1415M annual origination",None,Referral,Marcus Webb,2026-08-10,93,62705,Won,None,,"Accuracy methodology disclosed","Standout: audit trail held up under analyst scrutiny",3,9,"See sales-call-analysis/call-06-alpine-credit-union.md"
OPP-1007,Delta Mortgage Partners,Bank/Lender,Tier 2,DACH,"EUR 4840M annual origination",Bricklane Data,Outbound,Anna Kowalski,2026-09-22,304,90672,Lost,Bricklane Data,91644,"No decision - internal bandwidth","No product objection - internal bandwidth/timing",5,22,"See sales-call-analysis/call-07-delta-mortgage-partners.md"
OPP-1008,Fenwick & Oak Realty,Brokerage,Tier 3,DACH,"39 agents",None,Inbound,Marcus Webb,2026-09-12,23,8632,Won,None,,"Faster implementation","Standout: onboarding path for mixed-comfort team",3,23,"See sales-call-analysis/call-08-fenwick-oak-realty.md"
OPP-1009,Ironbridge Bank,Bank/Lender,Tier 1,Nordics,"EUR 1300M annual origination",ValuAI,Outbound,Anna Kowalski,2026-08-01,63,68746,Lost,ValuAI,74365,"No decision - internal bandwidth","No product objection - mid-contract elsewhere",3,19,"See sales-call-analysis/call-09-ironbridge-bank.md"
OPP-1010,Solvane Lending Group,Bank/Lender,Tier 2,DACH,"EUR 2775M annual origination",Estemate,Inbound,Marcus Webb,2026-08-15,148,192775,Lost,Estemate,193695,"No on-prem deployment option","Missing: on-premises deployment",3,13,"See sales-call-analysis/call-10-solvane-lending-group.md"
OPP-1011,Crestview Capital Bank,Bank/Lender,Tier 1,Nordics,"EUR 1439M annual origination",None,Outbound,Anna Kowalski,2026-09-10,102,65752,Won,None,,"Missing regulatory certification","Standout: review-queue workflow fit",3,11,"See sales-call-analysis/call-11-crestview-capital-bank.md"
OPP-1012,Harborlight Brokerages,Brokerage,Tier 3,DACH,"29 agents",PropIQ,Outbound,Marcus Webb,2026-09-01,20,25236,Lost,PropIQ,21988,"Adoption risk / incumbent inertia","No real trigger - incumbent inertia",4,1,"See sales-call-analysis/call-12-harborlight-brokerages.md"
OPP-1013,Meadowbrook Financial,Bank/Lender,Tier 1,DACH,"EUR 1598M annual origination",Bricklane Data,Inbound,Anna Kowalski,2026-09-26,87,93782,Won,Bricklane Data,93771,"Explainability / audit trail","Standout: live audit-trail comparison test",3,25,"See sales-call-analysis/call-13-meadowbrook-financial.md"
OPP-1014,Thornfield Mutual,Bank/Lender,Tier 2,Benelux,"EUR 2160M annual origination",None,Outbound,Marcus Webb,2026-09-29,140,100841,Won,None,,"Vendor stability / company size","Standout: documentation packet sped up compliance review",4,2,"See sales-call-analysis/call-14-thornfield-mutual.md"
OPP-1015,Copperfield Estates,Brokerage,Tier 3,DACH,"82 agents",None,Referral,Anna Kowalski,2026-08-28,52,19068,Won,None,,"Existing relationship / referral","Standout: peer referral credibility",4,18,"See sales-call-analysis/call-15-copperfield-estates.md"
OPP-1016,Marchbanks Trust,Bank/Lender,Tier 2,DACH,"EUR 3998M annual origination",Estemate,Outbound,Anna Kowalski,2025-11-06,258,158005,Lost,Estemate,183961,"No decision - internal bandwidth","No product objection - internal bandwidth/timing",5,64,
OPP-1017,Silverleaf Brokerage,Brokerage,Tier 3,Benelux,"73 agents",None,Event,Daniel Osei,2026-04-13,27,29312,Won,None,,"Explainability / audit trail","Standout: modern integration experience",3,20,
OPP-1018,Rosemont Brokerage,Brokerage,Tier 3,DACH,"46 agents",Manual process,Event,Marcus Webb,2025-11-15,50,31260,Lost,None,,"No decision - internal bandwidth","Bug: none reported - process/relationship loss",4,15,
OPP-1019,Fairholt Mortgage Partners,Bank/Lender,Tier 1,Nordics,"EUR 1222M annual origination",None,Referral,Marcus Webb,2025-10-16,69,133800,Lost,None,,"Longer implementation timeline","No product objection - internal bandwidth/timing",2,16,
OPP-1020,Ravensworth Lending Group,Bank/Lender,Tier 1,Nordics,"EUR 1948M annual origination",ValuAI,Inbound,Marcus Webb,2025-12-31,81,126372,Lost,ValuAI,110373,"Data coverage gap","Missing: specific regulatory certification",5,43,
OPP-1021,Grayhollow Trust,Bank/Lender,Tier 1,Benelux,"EUR 729M annual origination",Manual process,Inbound,Daniel Osei,2026-06-19,98,46768,Lost,None,,"Vendor stability / company size","Missing: on-premises deployment",4,49,
OPP-1022,Blackmoor Lending Group,Bank/Lender,Tier 2,Nordics,"EUR 3815M annual origination",None,Inbound,Anna Kowalski,2026-03-27,208,127146,Lost,None,,"Missing regulatory certification","Missing: specific regulatory certification",4,43,
OPP-1023,Dunmore Bank,Bank/Lender,Tier 1,Nordics,"EUR 820M annual origination",ValuAI,Event,Marcus Webb,2026-04-07,66,62400,Won,ValuAI,52629,"Explainability / audit trail","Standout: modern integration experience",5,13,
OPP-1024,Oakstone Mortgage Partners,Bank/Lender,Tier 1,Nordics,"EUR 1585M annual origination",ValuAI,Partner,Marcus Webb,2026-04-15,96,96065,Lost,ValuAI,92659,"No on-prem deployment option","Missing: data coverage in smaller regional market",4,70,
OPP-1025,Kestrel Lending Group,Bank/Lender,Tier 1,Nordics,"EUR 1083M annual origination",Manual process,Inbound,Sofia Bergman,2026-01-30,119,48928,Won,None,,"Accuracy methodology disclosed","Standout: review-queue workflow fit",4,12,
OPP-1026,Moorfield Bank,Bank/Lender,Tier 2,Benelux,"EUR 5845M annual origination",None,Referral,Marcus Webb,2026-07-03,232,244220,Lost,None,,"Price","Missing: data coverage in smaller regional market",4,15,
OPP-1027,Tarnholm Mortgage Partners,Bank/Lender,Tier 1,Nordics,"EUR 1298M annual origination",Bricklane Data,Inbound,Sofia Bergman,2025-11-15,123,99064,Lost,Bricklane Data,94198,"Price","Bug: none reported - process/relationship loss",3,27,
OPP-1028,Cedarview Brokerage,Brokerage,Tier 3,DACH,"18 agents",Manual process,Event,Anna Kowalski,2026-03-09,47,14922,Lost,None,,"No on-prem deployment option","Missing: specific regulatory certification",2,1,
OPP-1029,Ashcombe Credit Union,Bank/Lender,Tier 2,Benelux,"EUR 6136M annual origination",Manual process,Event,Sofia Bergman,2026-07-03,299,233636,Won,None,,"Accuracy methodology disclosed","Standout: faster implementation than incumbent",5,48,
OPP-1030,Hazelbrook Group,Brokerage,Tier 3,Nordics,"24 agents",Manual process,Partner,Anna Kowalski,2026-01-14,28,27694,Lost,None,,"No on-prem deployment option","Bug: none reported - process/relationship loss",4,66,
OPP-1031,Castellan Capital,Bank/Lender,Tier 1,Nordics,"EUR 1101M annual origination",In-house build,Outbound,Marcus Webb,2026-03-12,127,47910,Won,In-house build,,"Explainability / audit trail","Standout: review-queue workflow fit",4,23,
OPP-1032,Ashford Homes,Brokerage,Tier 3,DACH,"89 agents",Manual process,Referral,Anna Kowalski,2026-03-05,35,22854,Won,None,,"Faster implementation","Standout: disclosed accuracy methodology",2,21,
OPP-1033,Vantree Trust,Bank/Lender,Tier 2,DACH,"EUR 4233M annual origination",Manual process,Referral,Anna Kowalski,2026-06-18,307,223178,Won,None,,"Explainability / audit trail","Standout: responsive support vs. incumbent",3,63,
OPP-1034,Eastwood Brokerage,Brokerage,Tier 3,Benelux,"17 agents",None,Referral,Daniel Osei,2026-02-28,22,19860,Lost,None,,"No on-prem deployment option","Missing: on-premises deployment",4,34,
OPP-1035,Millbridge Mortgage Partners,Bank/Lender,Tier 2,Benelux,"EUR 4024M annual origination",Estemate,Event,Daniel Osei,2025-11-11,250,108722,Lost,Estemate,127265,"Price","Missing: data coverage in smaller regional market",4,53,
OPP-1036,Highmoor Trust,Bank/Lender,Tier 1,Nordics,"EUR 382M annual origination",Estemate,Referral,Anna Kowalski,2026-01-19,77,113528,Lost,Estemate,115429,"Missing regulatory certification","Bug: none reported - process/relationship loss",4,70,
OPP-1037,Eastwood Properties,Brokerage,Tier 3,Benelux,"11 agents",None,Inbound,Sofia Bergman,2025-12-05,22,12142,Won,None,,"Explainability / audit trail","Standout: faster implementation than incumbent",3,52,
OPP-1038,Tarnholm Bank,Bank/Lender,Tier 1,DACH,"EUR 1717M annual origination",Bricklane Data,Outbound,Daniel Osei,2026-03-15,119,49161,Lost,Bricklane Data,57084,"Longer implementation timeline","No product objection - internal bandwidth/timing",5,6,
OPP-1039,Applegate Properties,Brokerage,Tier 3,DACH,"59 agents",PropIQ,Outbound,Marcus Webb,2026-02-27,33,9925,Lost,PropIQ,10812,"Price","Missing: specific regulatory certification",5,41,
OPP-1040,Rushbrook Credit Union,Bank/Lender,Tier 1,Nordics,"EUR 1011M annual origination",Bricklane Data,Referral,Marcus Webb,2026-03-29,115,66991,Lost,Bricklane Data,69174,"No decision - internal bandwidth","Bug: none reported - process/relationship loss",3,4,
OPP-1041,Thornbury Group,Brokerage,Tier 3,Benelux,"42 agents",None,Event,Anna Kowalski,2025-11-17,44,19777,Lost,None,,"Vendor stability / company size","Missing: data coverage in smaller regional market",3,70,
OPP-1042,Pemberton Financial,Bank/Lender,Tier 1,DACH,"EUR 1411M annual origination",None,Partner,Anna Kowalski,2025-10-12,88,132716,Lost,None,,"No on-prem deployment option","Missing: data coverage in smaller regional market",2,18,
OPP-1043,Pinecrest Estates,Brokerage,Tier 3,Nordics,"14 agents",In-house build,Inbound,Daniel Osei,2026-01-30,24,17192,Lost,None,,"Vendor stability / company size","Missing: on-premises deployment",4,23,
OPP-1044,Kelbourne Financial,Bank/Lender,Tier 1,Nordics,"EUR 1231M annual origination",Estemate,Event,Anna Kowalski,2026-07-09,69,115655,Won,Estemate,100612,"Accuracy methodology disclosed","Standout: responsive support vs. incumbent",4,34,
OPP-1045,Hartwell Mortgage Partners,Bank/Lender,Tier 1,Benelux,"EUR 1146M annual origination",None,Partner,Daniel Osei,2026-03-06,102,135427,Lost,None,,"Price","Missing: specific regulatory certification",4,45,
OPP-1046,Eastwood Group,Brokerage,Tier 3,Benelux,"43 agents",None,Referral,Anna Kowalski,2026-06-22,21,10480,Lost,None,,"Longer implementation timeline","Missing: on-premises deployment",5,65,
OPP-1047,Blackmoor Mortgage Partners,Bank/Lender,Tier 2,DACH,"EUR 6415M annual origination",Bricklane Data,Referral,Marcus Webb,2026-05-17,273,252582,Won,Bricklane Data,207396,"Faster implementation","Standout: responsive support vs. incumbent",5,9,
OPP-1048,Marchbanks Financial,Bank/Lender,Tier 1,Benelux,"EUR 1345M annual origination",Estemate,Partner,Anna Kowalski,2025-10-04,78,54308,Lost,Estemate,58968,"Price","Missing: named reference customer at our scale",5,52,
OPP-1049,Marchbanks Mortgage Partners,Bank/Lender,Tier 2,Nordics,"EUR 2256M annual origination",ValuAI,Referral,Anna Kowalski,2026-05-09,158,161190,Lost,ValuAI,131217,"Price","Bug: none reported - process/relationship loss",4,70,
OPP-1050,Thistledown Lending Group,Bank/Lender,Tier 2,Benelux,"EUR 5703M annual origination",None,Event,Daniel Osei,2025-11-29,282,216733,Won,None,,"Explainability / audit trail","Standout: responsive support vs. incumbent",5,17,
OPP-1051,Fairholt Bank,Bank/Lender,Tier 1,Nordics,"EUR 480M annual origination",None,Outbound,Marcus Webb,2026-03-30,108,108132,Won,None,,"Explainability / audit trail","Standout: responsive support vs. incumbent",4,9,
OPP-1052,Amberfield Financial,Bank/Lender,Tier 2,Benelux,"EUR 5307M annual origination",Estemate,Partner,Sofia Bergman,2025-10-27,258,176129,Lost,Estemate,199348,"Vendor stability / company size","Missing: on-premises deployment",3,14,
OPP-1053,Glendower Financial,Bank/Lender,Tier 1,Benelux,"EUR 715M annual origination",Estemate,Inbound,Daniel Osei,2026-01-19,85,81640,Lost,Estemate,70363,"No on-prem deployment option","Missing: specific regulatory certification",2,43,
OPP-1054,Fernhollow Brokerage,Brokerage,Tier 3,Benelux,"36 agents",PropIQ,Event,Marcus Webb,2025-11-24,21,24971,Won,PropIQ,28369,"Explainability / audit trail","Standout: disclosed accuracy methodology",5,38,
OPP-1055,Ashcombe Savings,Bank/Lender,Tier 1,DACH,"EUR 1650M annual origination",None,Outbound,Marcus Webb,2026-03-04,87,117002,Lost,None,,"Price","Missing: named reference customer at our scale",4,65,
OPP-1056,Applegate Brokerage,Brokerage,Tier 3,Nordics,"17 agents",None,Partner,Sofia Bergman,2026-02-09,40,18014,Won,None,,"Faster implementation","Standout: review-queue workflow fit",4,61,
OPP-1057,Brightwater Capital,Bank/Lender,Tier 1,Nordics,"EUR 630M annual origination",None,Inbound,Marcus Webb,2026-05-30,100,89906,Lost,None,,"Data coverage gap","Bug: none reported - process/relationship loss",4,57,
OPP-1058,Fernhollow Estates,Brokerage,Tier 3,Nordics,"52 agents",Manual process,Referral,Anna Kowalski,2025-10-03,38,23464,Won,None,,"Accuracy methodology disclosed","Standout: disclosed accuracy methodology",4,42,
OPP-1059,Pinecrest Homes,Brokerage,Tier 3,Nordics,"27 agents",PropIQ,Referral,Marcus Webb,2025-12-26,31,27021,Lost,PropIQ,22685,"Longer implementation timeline","Bug: none reported - process/relationship loss",4,58,
OPP-1060,Meadowlane Realty,Brokerage,Tier 3,DACH,"19 agents",None,Partner,Sofia Bergman,2025-11-10,24,22164,Won,None,,"Existing relationship / referral","Standout: review-queue workflow fit",5,60,
OPP-1061,Oakhaven Estates,Brokerage,Tier 3,Nordics,"49 agents",PropIQ,Event,Anna Kowalski,2025-10-18,48,19689,Won,PropIQ,18052,"Faster implementation","Standout: modern integration experience",3,71,
OPP-1062,Thistledown Financial,Bank/Lender,Tier 1,Benelux,"EUR 478M annual origination",None,Event,Marcus Webb,2026-05-13,121,132448,Won,None,,"Explainability / audit trail","Standout: modern integration experience",4,38,
OPP-1063,Dunmore Capital,Bank/Lender,Tier 1,DACH,"EUR 1625M annual origination",Bricklane Data,Referral,Anna Kowalski,2025-10-04,120,103869,Lost,Bricklane Data,91460,"Price","Bug: none reported - process/relationship loss",5,55,
OPP-1064,Yorvale Credit Union,Bank/Lender,Tier 1,Benelux,"EUR 1066M annual origination",Manual process,Event,Sofia Bergman,2026-01-24,126,72733,Won,None,,"Accuracy methodology disclosed","Standout: responsive support vs. incumbent",4,23,
OPP-1065,Blackmoor Savings,Bank/Lender,Tier 1,DACH,"EUR 1858M annual origination",In-house build,Partner,Marcus Webb,2025-10-24,65,109720,Lost,In-house build,,"Missing regulatory certification","Missing: named reference customer at our scale",2,63,
OPP-1066,Thornbury Homes,Brokerage,Tier 3,Benelux,"78 agents",PropIQ,Partner,Anna Kowalski,2026-04-01,39,13410,Lost,PropIQ,15484,"No on-prem deployment option","Missing: named reference customer at our scale",5,56,
OPP-1067,Ashford Brokerage,Brokerage,Tier 3,Benelux,"16 agents",None,Outbound,Daniel Osei,2026-03-31,37,25683,Won,None,,"Existing relationship / referral","Standout: responsive support vs. incumbent",5,6,
OPP-1068,Pemberton Mortgage Partners,Bank/Lender,Tier 2,DACH,"EUR 4296M annual origination",Estemate,Outbound,Daniel Osei,2026-04-30,299,233272,Won,Estemate,234984,"Faster implementation","Standout: disclosed accuracy methodology",5,15,
OPP-1069,Foxglove Properties,Brokerage,Tier 3,DACH,"89 agents",In-house build,Inbound,Sofia Bergman,2026-06-30,43,28233,Lost,None,,"No on-prem deployment option","Missing: specific regulatory certification",4,55,
OPP-1070,Drummond Savings,Bank/Lender,Tier 1,Benelux,"EUR 747M annual origination",In-house build,Inbound,Daniel Osei,2025-12-29,66,67586,Lost,None,,"Longer implementation timeline","Missing: on-premises deployment",4,37,
OPP-1071,Brightwater Financial,Bank/Lender,Tier 1,Nordics,"EUR 1607M annual origination",None,Referral,Anna Kowalski,2026-06-13,96,104311,Lost,None,,"Vendor stability / company size","No product objection - internal bandwidth/timing",4,69,
OPP-1072,Brookstone Brokerage,Brokerage,Tier 3,Nordics,"21 agents",PropIQ,Inbound,Anna Kowalski,2025-10-25,49,28700,Lost,PropIQ,29585,"Price","No product objection - internal bandwidth/timing",4,14,
